Tiêu đề,Ngày đăng,Số từ,Số bình luận,Tổng tương tác ở bình luận,Số ảnh,Số video,Tags,Chuyên mục
Nhân viên IT tạo 'công tắc' tắt hệ thống khi bị sa thải,"Thứ tư, 12/3/2025, 10:10 (GMT+7)",372,53,271,1,0,"phần mềm, Công nghệ thông tin IT, tấn công hệ thống",cong-nghe
Giao diện Facebook thay đổi thế nào sau 20 năm,"Thứ hai, 31/3/2025, 15:49 (GMT+7)",844,7,48,8,1,"Facebook, Công ty Meta",cong-nghe
Duolingo thông báo 'cú xanh đã chết',"Thứ năm, 13/2/2025, 13:58 (GMT+7)",548,37,943,1,0,"Duo, ứng dụng, ứng dụng học tiếng Anh, Duolingo",cong-nghe
Google ra hai nền tảng chung cho robot,"Thứ sáu, 14/3/2025, 19:00 (GMT+7)",837,8,7,1,0,"Google, Robot hình người",cong-nghe
"Sam Altman: Musk muốn gây rối, làm chậm OpenAI khi đề nghị mua","Thứ tư, 12/2/2025, 07:00 (GMT+7)",450,17,104,1,0,"Elon Musk, OpenAI, Sam Altman",cong-nghe
"Bộ trưởng Nguyễn Mạnh Hùng: 'Quyết định đúng, hiệu triệu được toàn dân, việc gì cũng thành'","Thứ hai, 31/3/2025, 06:30 (GMT+7)",3885,16,70,4,0,"Khoa học công nghệ, Bộ trưởng Nguyễn Mạnh Hùng, Đổi mới sáng tạo, Chuyển đổi số",cong-nghe
"Được Musk khen làm toán giỏi, Grok 3 lại tự nhận giải sai","Thứ hai, 24/2/2025, 12:35 (GMT+7)",680,16,61,1,0,"Trí tuệ nhân tạo - AI, Elon Musk, xAI, Grok, Grok 3",cong-nghe
Một tỷ người dùng Microsoft có thể đăng nhập không cần mật khẩu,"Chủ nhật, 30/3/2025, 10:12 (GMT+7)",802,3,16,1,0,"Microsoft, Mật khẩu",cong-nghe
Khả năng tự đứng 'đáng nể' của robot hình người,"Thứ tư, 5/3/2025, 11:41 (GMT+7)",640,53,187,0,1,Robot hình người,cong-nghe
Google Maps - cuộc cách mạng bản đồ số từ dự án trong phòng ngủ,"Thứ sáu, 28/2/2025, 07:00 (GMT+7)",1637,85,382,3,0,"Google, Google Maps, bản đồ số",cong-nghe
Quy hoạch 'đường cao tốc' truyền dẫn 5G Việt Nam,"Thứ sáu, 4/4/2025, 11:27 (GMT+7)",443,3,8,1,0,"Việt Nam, Bộ Khoa học và Công nghệ, 5G, Internet",cong-nghe
Trung Quốc vượt Mỹ về số lượng nghiên cứu chip thế hệ mới,"Thứ năm, 6/3/2025, 13:00 (GMT+7)",410,131,301,1,0,"Mỹ, Trung Quốc, Công nghệ chip",cong-nghe
"Tapo C530WS - camera AI ngoài trời giá 1,3 triệu đồng","Thứ hai, 24/2/2025, 15:00 (GMT+7)",710,0,0,8,0,"Camera an ninh, TP-Link, Camera AI, Tapo, Camera ngoài trời, Tapo C530WS",cong-nghe
Ông Trump: DeepSeek Trung Quốc là 'lời cảnh tỉnh' cho công ty Mỹ,"Thứ ba, 28/1/2025, 09:21 (GMT+7)",556,211,1249,1,0,"Mỹ, Trung Quốc, Trí tuệ nhân tạo - AI, Donald Trump, DeepSeek",cong-nghe
Microsoft và Oracle có thể tiếp quản TikTok,"Chủ nhật, 26/1/2025, 12:00 (GMT+7)",872,24,109,1,0,"Microsoft, Oracle Corporation, TikTok",cong-nghe
Hai robot hình người Trung Quốc gây sốt khi di chuyển tự nhiên,"Thứ tư, 22/1/2025, 05:00 (GMT+7)",760,278,1192,0,2,"Robot hình người, Robot Trung Quốc, Unitree, EngineAI, Robot hình người Trung Quốc",cong-nghe
Tim Cook khen DeepSeek hiệu quả,"Thứ sáu, 31/1/2025, 11:07 (GMT+7)",556,48,393,1,0,"Trí tuệ nhân tạo - AI, Apple Inc., DeepSeek",cong-nghe
Giá iPhone gập có thể từ 2.300 USD,"Thứ tư, 19/3/2025, 09:27 (GMT+7)",615,42,177,1,0,"tin đồn, Apple Inc., iPhone gập, iPad gập, iPhone 16 Pro Max",cong-nghe
Ông Trump: TSMC sẽ đầu tư 100 tỷ USD xây 5 nhà máy tại Mỹ,"Thứ tư, 5/3/2025, 06:29 (GMT+7)",419,18,77,1,0,"Mỹ, Donald Trump, sản xuất chip, TSMC",cong-nghe
Cơn sốt tạo ảnh hoạt hình AI phong cách Ghibli bằng ChatGPT,"Thứ sáu, 28/3/2025, 06:27 (GMT+7)",991,53,83,1,0,"Trí tuệ nhân tạo - AI, Studio Ghibli, OpenAI, ảnh AI, ChatGPT",cong-nghe
AI Agent thay đổi cách tương tác trên Internet thế nào,"Thứ ba, 11/3/2025, 08:11 (GMT+7)",1826,32,118,1,1,"Trí tuệ nhân tạo - AI, Mặt trái AI, AI Agent",cong-nghe
"Oppo vượt Samsung, dẫn đầu smartphone Đông Nam Á","Thứ năm, 13/2/2025, 09:58 (GMT+7)",641,0,0,3,0,"Samsung, Smartphone, Xiaomi, Oppo, Canalys",cong-nghe
Bốn mô hình AI nổi bật của Trung Quốc,"Thứ sáu, 14/3/2025, 06:00 (GMT+7)",658,39,284,1,0,"Trí tuệ nhân tạo - AI, Alibaba, Tencent, OpenAI, ChatGPT, DeepSeek, Manus",cong-nghe
Cách Samsung xây dựng AI 'mô phỏng con người' trên Galaxy S25 Series,"Thứ hai, 27/1/2025, 20:00 (GMT+7)",1121,0,0,3,0,"Samsung, Trí tuệ nhân tạo - AI, Samsung Galaxy S25, Human Like AI",cong-nghe
Kỳ lân Perplexity AI 'muốn sáp nhập với TikTok' tại Mỹ,"Chủ nhật, 19/1/2025, 19:26 (GMT+7)",526,21,72,1,0,"Mỹ, TikTok, Perplexity AI",cong-nghe
Sinh viên Việt đoạt giải xuất sắc tại cuộc thi châu Á của Huawei,"Thứ sáu, 28/2/2025, 17:14 (GMT+7)",728,8,103,2,0,"Huawei, Sinh viên, Huawei ICT Competition",cong-nghe
Máy lọc nước Sunhouse nhận giải tiên phong công nghệ tại Tech Awards,"Chủ nhật, 12/1/2025, 08:00 (GMT+7)",1129,0,0,2,0,"máy lọc nước, Sunhouse, tiên phong, Tech Awards, Sunhouse RO UltraX",cong-nghe
Microsoft công bố đột phá mới về chip lượng tử,"Thứ năm, 20/2/2025, 12:00 (GMT+7)",887,155,786,1,0,"Microsoft, chip, lượng tử, chip lượng tử",cong-nghe
Elon Musk: X bị tấn công mạng toàn cầu,"Thứ ba, 11/3/2025, 09:46 (GMT+7)",400,4,54,2,0,"Elon Musk, Tấn công mạng, Mạng xã hội X",cong-nghe
iPhone Fold 'giá 2.000 USD nhưng không có FaceID',"Thứ bảy, 8/3/2025, 09:00 (GMT+7)",321,29,133,1,0,"Apple Inc., tin đồn iPhone, iPhone gập, iPhone Fold",cong-nghe
Cuộc thi Cosplay Contest 2025 mở cổng đăng ký,"Thứ ba, 18/3/2025, 12:00 (GMT+7)",877,0,0,2,0,,cong-nghe
Nền tảng tích điểm LynkiD nhận giải vàng công nghệ số,"Chủ nhật, 19/1/2025, 17:00 (GMT+7)",620,1,1,2,0,"Hà Nội, công nghệ số, LynkiD, Make In Vietnam 2024",cong-nghe
Robot hình người - đấu trường mới của các ông lớn công nghệ,"Thứ hai, 17/2/2025, 08:13 (GMT+7)",1043,11,21,1,0,"Trí tuệ nhân tạo - AI, Apple Inc., Tesla, Công ty Meta, Robot hình người, Unitree",cong-nghe
Đằng sau cơn sốt meme coin về người nổi tiếng,"Thứ ba, 4/2/2025, 05:00 (GMT+7)",1331,3,31,2,0,"Lừa đảo, Tiền số, Meme coin, rút thảm, bơm xả",cong-nghe
Đảo Silicon' của Nhật Bản đến Việt Nam tìm nhân lực bán dẫn,"Thứ tư, 19/2/2025, 18:33 (GMT+7)",810,6,110,2,0,"Nhật Bản, Bán dẫn, FPT Semiconductor",cong-nghe
Kênh VTV biến mất trên một số nền tảng truyền hình,"Chủ nhật, 19/1/2025, 05:48 (GMT+7)",504,1,1,1,0,"Đài truyền hình Việt Nam, VTV3, MyTV, FPT Play, VTV2, TV360",cong-nghe
Google từ bỏ trợ lý ảo Assisstant,"Thứ bảy, 15/3/2025, 07:50 (GMT+7)",335,7,35,1,0,"Google, trợ lý ảo, Google Assistant, Gemini",cong-nghe
Dùng tiêu chuẩn để dẫn dắt quốc gia phát triển',"Thứ bảy, 29/3/2025, 19:33 (GMT+7)",1005,2,27,2,0,"Bộ Khoa học và Công nghệ, Bộ trưởng Nguyễn Mạnh Hùng, Uỷ ban Tiêu chuẩn Đo lường Chất lượng quốc gia",cong-nghe
Đẩy mạnh thương mại hóa 5G để thúc đẩy tăng trưởng kinh tế,"Chủ nhật, 2/3/2025, 17:26 (GMT+7)",592,3,22,1,0,"5G, Hạ tầng số, Nghị quyết 57, Chỉ thị 05",cong-nghe
Người dùng Hà Nội trải nghiệm độ bền Oppo A5 Pro,"Thứ sáu, 21/3/2025, 09:00 (GMT+7)",595,0,0,9,0,"Oppo, kháng nước, Oppo A5 Pro",cong-nghe
Elon Musk dự định tạo ra 10.000 robot hình người năm 2025,"Chủ nhật, 2/2/2025, 19:00 (GMT+7)",605,8,54,1,0,"Robot, Tesla, Elon Musk, Tesla Optimus",cong-nghe
Apple công bố đầu tư 500 tỷ USD tại Mỹ,"Thứ ba, 25/2/2025, 06:18 (GMT+7)",506,26,170,1,0,"Tim Cook, Apple Inc., Donald Trump",cong-nghe
Trung Quốc ra mắt quỹ đổi mới sáng tạo 11 tỷ USD,"Thứ tư, 12/3/2025, 20:11 (GMT+7)",611,5,37,1,0,"Trung Quốc, đổi mới sáng tạo",cong-nghe
DeepSeek bị phát hiện lộ dữ liệu nhạy cảm,"Thứ năm, 30/1/2025, 15:03 (GMT+7)",424,133,1275,1,0,"Trung Quốc, Trí tuệ nhân tạo - AI, DeepSeek",cong-nghe
Tham vọng đưa AI vào cuộc sống của Trung Quốc,"Chủ nhật, 16/3/2025, 07:00 (GMT+7)",1618,28,150,1,0,"Trung Quốc, Trí tuệ nhân tạo - AI, DeepSeek",cong-nghe
Loạt smartphone được đón chờ nửa đầu 2025,"Thứ hai, 10/2/2025, 05:00 (GMT+7)",991,37,133,5,0,"Apple Inc., Huawei Mate X, iPhone SE 4, Oppo Find N5, Xiaomi 15 Ultra",cong-nghe
Samsung nâng cấp trải nghiệm AI tạo sinh trên Galaxy A series,"Thứ sáu, 4/4/2025, 20:00 (GMT+7)",699,0,0,0,0,"Samsung, Samsung Electronics, Galaxy A Series, Awesome Intelligence",cong-nghe
Tình báo Hàn Quốc: DeepSeek thu thập dữ liệu cá nhân quá mức,"Thứ ba, 11/2/2025, 10:10 (GMT+7)",644,91,427,1,0,"Hàn Quốc, Trí tuệ nhân tạo - AI, Dữ liệu cá nhân, DeepSeek",cong-nghe
Hoài nghi về chi phí 'siêu rẻ' của AI Trung Quốc DeepSeek,"Thứ ba, 28/1/2025, 14:15 (GMT+7)",793,256,1509,1,0,"Mỹ, Trí tuệ nhân tạo - AI, AI Trung Quốc, DeepSeek, AI giá rẻ, DeepSeek R1, DeepSeek V3",cong-nghe
Việt Nam thuộc top đầu 'lạc quan về AI',"Thứ tư, 12/3/2025, 17:43 (GMT+7)",1097,6,74,3,0,"Trí tuệ nhân tạo - AI, VPBank, Trung tâm Đổi mới sáng tạo Quốc gia, AISC, Aitomatic",cong-nghe
Ông Trump có thể khơi mào làn sóng tích trữ màn hình,"Thứ sáu, 14/2/2025, 06:41 (GMT+7)",521,3,6,1,0,"Mỹ, Trung Quốc, Donald Trump",cong-nghe
Ông Trump nói xem xét gia hạn cho TikTok thêm 90 ngày,"Chủ nhật, 19/1/2025, 07:36 (GMT+7)",622,40,100,1,0,"Donald Trump, TikTok",cong-nghe
Bốn ứng dụng Việt được Apple gợi ý dịp Tết,"Thứ năm, 30/1/2025, 05:00 (GMT+7)",572,0,0,4,0,"Habitify, Decibel X, Fonos, Plum Village",cong-nghe
Mỹ thắt chặt kiểm soát chip AI trên toàn cầu,"Thứ ba, 14/1/2025, 14:00 (GMT+7)",809,59,207,1,0,"Mỹ, NVIDIA, Trí tuệ nhân tạo - AI, Kiểm soát xuất khẩu",cong-nghe
"Công ty bán dẫn Nhật tìm đường cung cấp chip AI cho Apple, Meta","Chủ nhật, 6/4/2025, 09:00 (GMT+7)",438,2,7,1,0,"Nhật Bản, Apple Inc., chip AI, chip 2 nm, Rapidus",cong-nghe
"iPhone 17 Air siêu mỏng nhưng 'phần camera dày 9,5 mm'","Thứ sáu, 14/3/2025, 08:00 (GMT+7)",391,48,250,1,0,"Apple Inc., iPhone 17, iPhone siêu mỏng, iPhone 17 Air",cong-nghe
Cục trưởng Lê Quang Tự Do: Vietnam GameVerse thay đổi định kiến ngành game Việt,"Thứ sáu, 14/2/2025, 20:30 (GMT+7)",1432,0,0,3,1,,cong-nghe
Nên mua sạc dự phòng có dây hay không dây,"Thứ sáu, 31/1/2025, 05:00 (GMT+7)",147,12,55,1,0,"tư vấn, sạc dự phòng",cong-nghe
Phong cách DeepSeek 'tương đồng đáng kinh ngạc' với ChatGPT,"Thứ ba, 4/3/2025, 11:33 (GMT+7)",847,63,432,1,0,DeepSeek,cong-nghe
Những lưu ý khi chọn mua máy hút ẩm,"Chủ nhật, 2/3/2025, 10:00 (GMT+7)",77,14,28,0,1,"kinh nghiệm, tư vấn, máy hút ẩm, công nghệ ngưng tụ",cong-nghe
"Giải pháp xử lý sự cố, điều tra số cho doanh nghiệp từ VSEC","Thứ năm, 6/2/2025, 09:00 (GMT+7)",569,0,0,2,0,"VSEC, Quy trình DFIR, điều tra số",cong-nghe
Trường Đại học FPT bắt tay trường top đầu tại thủ phủ bán dẫn,"Thứ bảy, 18/1/2025, 07:06 (GMT+7)",737,3,41,1,0,"FPT, Đại học FPT, Bán dẫn, Đại học Á Châu",cong-nghe
Những công việc đời thực đầu tiên của robot hình người,"Thứ năm, 27/2/2025, 15:13 (GMT+7)",1032,97,308,0,0,Robot hình người,cong-nghe
Gói cước 5G tại Việt Nam thấp nhất 10.000 đồng,"Thứ hai, 10/3/2025, 12:37 (GMT+7)",769,137,609,1,0,"công nghệ, 5G, Gói cước 5G, Giá 5G",cong-nghe
Đề xuất luật hóa quy định bảo vệ dữ liệu vị trí,"Thứ năm, 13/3/2025, 10:17 (GMT+7)",667,6,39,1,0,"Bộ Công An, dữ liệu cá nhân, dữ liệu vị trí, Luật Bảo vệ dữ liệu cá nhân",cong-nghe
CEO Telegram rời Pháp,"Chủ nhật, 16/3/2025, 10:14 (GMT+7)",560,1,0,1,0,"mạng xã hội, Pavel Durov, Telegram",cong-nghe
Asus phát triển laptop AI siêu nhẹ,"Thứ tư, 5/3/2025, 16:00 (GMT+7)",1092,0,0,3,0,"AsusTek Computer Inc., laptop siêu nhẹ, laptop AI",cong-nghe
Có nên mua máy giặt mini?,"Thứ tư, 5/3/2025, 19:00 (GMT+7)",158,18,41,1,0,"kinh nghiệm, tư vấn, máy giặt mini",cong-nghe
Loạt laptop AI hiệu năng cao,"Thứ sáu, 28/2/2025, 08:00 (GMT+7)",726,0,0,4,0,"Trí tuệ nhân tạo - AI, AMD Ryzen, laptop AI",cong-nghe
"DeepSeek 'chi phí rẻ, nhưng chưa hiệu quả'","Thứ bảy, 8/2/2025, 06:41 (GMT+7)",979,119,464,1,0,"Trí tuệ nhân tạo - AI, AI Trung Quốc, DeepSeek",cong-nghe
Apple sắp mất thêm thị phần smartphone ở Trung Quốc,"Thứ hai, 13/1/2025, 05:00 (GMT+7)",324,50,235,1,0,"Trung Quốc, iPhone, điện thoại Trung Quốc, Apple Inc.",cong-nghe
Nên chọn TV nào dễ dùng cho người già?,"Thứ tư, 22/1/2025, 07:00 (GMT+7)",105,17,63,0,0,"Samsung, Sony, LG Group (Corporation), TV người lớn tuổi",cong-nghe
Wang Xingxing - CEO 9x đứng sau công ty robot hình người Unitree,"Thứ tư, 19/2/2025, 19:00 (GMT+7)",1982,58,585,5,0,"Robot hình người, Unitree, Wang Xingxing",cong-nghe
Meta chi 65 tỷ USD xây trung tâm dữ liệu AI khổng lồ,"Chủ nhật, 26/1/2025, 06:56 (GMT+7)",502,3,68,1,0,"Trí tuệ nhân tạo - AI, Công ty Meta",cong-nghe
Cuộc đua tạo cỗ máy quan trọng hàng đầu thế giới,"Thứ hai, 31/3/2025, 11:40 (GMT+7)",1618,108,248,1,0,"ASML, Bán dẫn, Quang khắc",cong-nghe
"Siri tiếng Việt trên iPhone hỗ trợ gọi xe, chuyển tiền","Thứ ba, 1/4/2025, 01:17 (GMT+7)",542,21,133,0,2,Siri,cong-nghe
Những thông tin ít biết về iPhone 16e,"Chủ nhật, 23/2/2025, 16:54 (GMT+7)",770,40,160,3,0,iPhone 16e,cong-nghe
Những chiêu lừa online nở rộ dịp gần Tết,"Thứ tư, 22/1/2025, 09:00 (GMT+7)",1117,10,100,2,0,"Lừa đảo, Cục An toàn thông tin, Lừa đảo trực tuyến",cong-nghe
Thủ tướng đề xuất tập đoàn nước ngoài thúc đẩy chuyển giao công nghệ,"Thứ sáu, 14/3/2025, 16:39 (GMT+7)",1343,1,0,3,0,"Trí tuệ nhân tạo - AI, Bán dẫn, Thủ tướng Phạm Minh Chính, Chip bán dẫn",cong-nghe
Siêu mỏng - xu hướng thị trường smartphone 2025,"Thứ sáu, 14/2/2025, 05:00 (GMT+7)",1163,46,98,4,0,"iPhone Air, Oppo Find N5, Galaxy S25 Edge",cong-nghe
Elon Musk đặt biệt danh cho CEO OpenAI là 'Scam Altman',"Thứ ba, 11/2/2025, 10:31 (GMT+7)",366,15,35,1,0,"Elon Musk, Sam Altman",cong-nghe
Facebook lại gặp sự cố,"Thứ năm, 27/2/2025, 09:34 (GMT+7)",359,21,106,2,0,"Facebook, Facebook lỗi",cong-nghe
Loạt tai nghe True Wireless nổi bật,"Chủ nhật, 2/2/2025, 05:00 (GMT+7)",895,16,39,5,0,"Samsung, JBL, Huawei, Apple Inc., Soundcore, list tai nghe TWS, tại nghe TWS, tai nghe TWS nổi bật",cong-nghe
5 thông số dự kiến của iPhone gập,"Thứ sáu, 7/2/2025, 19:00 (GMT+7)",318,43,141,1,0,"iPhone, Apple Inc., iPhone gập, smartphone gập, iPhone Fold",cong-nghe
Hàng nghìn iPhone bị đánh cắp trước hiên nhà thế nào,"Chủ nhật, 23/3/2025, 05:00 (GMT+7)",904,7,37,1,0,"Mỹ, iPhone, Trộm cắp tài sản",cong-nghe
TS Christopher Nguyễn: Việt Nam đứng trước cơ hội nghìn năm có một,"Thứ ba, 11/3/2025, 10:45 (GMT+7)",2017,23,270,2,0,"Việt Nam, Christopher Nguyễn, Trí tuệ nhân tạo - AI, bán dẫn, AISC 2025, AISC",cong-nghe
Apple cân nhắc tạo iPhone không cổng kết nối,"Thứ hai, 17/3/2025, 16:00 (GMT+7)",403,29,65,2,0,"iPhone 17, iPhone 17 Air, iPhone không dây, iPhone không dùng cổng kết nối",cong-nghe
Elon Musk xem xét ứng dụng blockchain trong chính phủ Mỹ,"Thứ ba, 28/1/2025, 07:00 (GMT+7)",757,3,6,1,0,"Elon Musk, Blockchain, DOGE",cong-nghe
"Mạng 5G Viettel có hơn 5,5 triệu người dùng","Thứ bảy, 1/3/2025, 06:15 (GMT+7)",522,39,128,1,0,"Vinaphone, Viettel Telecom, 5G",cong-nghe
Robot hình người 'có độ hoàn thiện cao' của Trung Quốc,"Thứ hai, 13/1/2025, 12:00 (GMT+7)",657,86,257,0,1,"Trung Quốc, Robot, Robot hình người",cong-nghe
iPhone 16 chật vật trở lại thị trường Indonesia,"Thứ bảy, 8/3/2025, 06:20 (GMT+7)",396,10,40,1,0,"Indonesia, Apple Inc., iPhone 16, Indonesia cấm iPhone 16",cong-nghe
Người dùng ChatGPT tăng vọt nhờ AI tạo ảnh,"Thứ tư, 2/4/2025, 16:17 (GMT+7)",578,23,66,1,0,"Trí tuệ nhân tạo - AI, Ghibli, OpenAI, AI tạo ảnh, ChatGPT",cong-nghe
Bill Gates: Intel đang lạc lối,"Thứ bảy, 8/2/2025, 13:00 (GMT+7)",640,53,258,1,0,"Intel, Microsoft, Bill Gates",cong-nghe
"Có nên chi vài triệu mua máy hút ẩm, dùng 1-2 tháng?","Thứ hai, 17/2/2025, 07:39 (GMT+7)",231,84,361,0,0,"đồ gia dụng, Trời nồm ẩm, máy hút ẩm",cong-nghe
Mô hình hé lộ thiết kế thực của iPhone giá rẻ,"Thứ bảy, 18/1/2025, 10:00 (GMT+7)",298,28,81,1,0,"Apple Inc., iPhone giá rẻ, iPhone 16, iPhone SE 4, iPhone 16e",cong-nghe
Ông Trump sẽ quyết định số phận TikTok trong 30 ngày tới,"Thứ hai, 27/1/2025, 08:00 (GMT+7)",650,16,69,1,0,"Donald Trump, TikTok, Mỹ cấm TikTok, Mỹ mua lại TikTok",cong-nghe
Musk chia sẻ bài viết về Starlink tại Việt Nam,"Thứ sáu, 4/4/2025, 07:34 (GMT+7)",596,25,127,2,0,"SpaceX, Elon Musk, Starlink, Internet vệ tinh",cong-nghe
Mỹ và châu Âu không tìm được tiếng nói chung về AI,"Thứ tư, 12/2/2025, 11:30 (GMT+7)",852,15,72,1,0,"Trí tuệ nhân tạo - AI, công nghệ, AI Action Summit 2025",cong-nghe
"Bình Định làm ứng dụng tra cứu dữ liệu đất đai, quy hoạch","Thứ sáu, 24/1/2025, 07:00 (GMT+7)",856,2,12,3,0,"Bình Định, app, đất đai, Chuyển đổi số, ứng dụng webgis",cong-nghe
Tiền ảo Pi Network liên tiếp gia hạn KYC,"Thứ bảy, 1/2/2025, 09:00 (GMT+7)",1022,109,486,2,0,Pi Network,cong-nghe
"TCL, Hisense bị kiện liên quan đến TV QLED","Thứ sáu, 14/3/2025, 05:57 (GMT+7)",1018,25,175,2,0,"Hisense, TCL, QLED, Quantum Dot",cong-nghe
Kiếm chục nghìn USD từ game 'tạo bằng vài câu lệnh AI',"Chủ nhật, 9/3/2025, 05:00 (GMT+7)",1190,28,169,1,0,"Trí tuệ nhân tạo - AI, Lập trình viên, Lập trình game",cong-nghe
Đổ xô mua máy hút ẩm,"Thứ hai, 17/2/2025, 16:28 (GMT+7)",983,114,545,2,0,"Xiaomi, máy hút ẩm, Lumias, NWT",cong-nghe
Những cơ chế đặc thù 'cởi trói' cho khoa học công nghệ,"Chủ nhật, 16/2/2025, 22:10 (GMT+7)",2732,4,42,4,0,"Bộ trưởng Thông tin và Truyền thông, Bộ trưởng Nguyễn Mạnh Hùng, phát triển khoa học công nghệ",cong-nghe
Ông chủ ChatGPT nói sẽ không kiện DeepSeek,"Thứ ba, 4/2/2025, 13:01 (GMT+7)",551,80,592,1,0,"Trí tuệ nhân tạo - AI, OpenAI, Sam Altman, DeepSeek",cong-nghe
Điểm yếu của iPhone 17 Air và Galaxy S25 Slim,"Thứ sáu, 17/1/2025, 07:45 (GMT+7)",458,35,122,1,0,"Samsung, Apple Inc., Smartphone, iPhone 17, iPhone 17 Air, Galaxy S25 Slim",cong-nghe
Cơ hội kiếm nghìn USD khi bán video cho công ty AI,"Chủ nhật, 12/1/2025, 21:00 (GMT+7)",983,6,39,1,0,"Trí tuệ nhân tạo - AI, Dữ liệu, đào tạo AI",cong-nghe
Google ra mô hình AI Gemma 3 'siêu nhẹ',"Thứ năm, 13/3/2025, 05:00 (GMT+7)",471,77,211,2,0,"Google, Gemma 3",cong-nghe
Cơ quan ở Việt Nam rút ngắn thời gian tìm tài liệu nhờ AI,"Thứ bảy, 15/3/2025, 12:00 (GMT+7)",799,21,80,2,0,"Trí tuệ nhân tạo - AI, Công ty Meta, Llama, Mã nguồn mở",cong-nghe
Nhóm kỹ sư FPT viết phần mềm camera cạnh tranh thế giới,"Thứ hai, 13/1/2025, 07:00 (GMT+7)",1021,23,244,2,0,"FPT, Kỹ sư, Camera an ninh, FPT Camera, FPT Camera Agent",cong-nghe
